project_id,process_type,project_title,lead_agency_harmonized,project_state,project_energy_type,duration_days,duration_years,outlier_type,suspect_error,suspect_reason,initiation_date,initiation_date_granularity,initiation_source_type,decision_date,decision_date_granularity,decision_source_type,initiation_evidence_text,decision_evidence_text
cce8d6a13cf4948e2a5c9823c1fa7af1,EIS,"Ice Age Complex at Cross Plains, Wisconsin","[""National Park Service""]","[""Wisconsin""]",Other,13526,37,long,TRUE,initiation pre-1985 (likely historical citation),1971-05-29,day,api_adjudication,2008-06-09,day,api_adjudication,"On May 29, 1971, the Secretary of the Interior published an order in the Federal Register that formally brought the Ice Age Reserve into existence.",FINAL GENERAL MANAGEMENT PLAN ENVIRONMENTAL IMPACT STATEMENT 101 Chapter Four Environmental Consequences Hunting has affected wildlife in the past and would continue to affect wildlife as long as it continues to take place in the complex. The possible development of a bike path along Highway 14 and 
b87e313171185ba7d7c362d9b8dcb936,EIS,"Waste Management Activities for Groundwater Protection Savannah River Plant Aiken, South Carolina","[""Department of Energy""]","[""South Carolina""]",Other,12969,35.5,long,TRUE,early LLM-picked initiation (verify),1985-11-08,day,api_adjudication,2021-05-12,day,metadata,Compliance of SRP Interim-Status Facilities with 1984 Hazardous and Solid Waste Amendments Requirements Status of SRP compliance Interim status of land-disposal facilities terminates unless a Part B permit application is submitted and compliance with groundwater– monitoring requirements is certified,"DOE NEPA Register decision date (rod, DOE/EIS-0108): 2021-05-12"
0277e112bd2f0a56e8cb0544eabb874b,EIS,Caño Martín Peña Ecosystem Restoration Project,"[""Corps of Engineers--Civil Works""]",[],Other,8994,24.6,long,TRUE,early LLM-picked initiation (verify),1990-08-15,month,api_adjudication,2015-03-31,day,api_adjudication,"“Permit Application for the Project of the Bridge over San José Lagoon, Carolina-San Juan, Puerto Rico,” Lebrón Associates for Puerto Rico Highway Authority, August 1990.","Authorized cost, inflated through construction: $209,316 (Line c x Line d) Line 2 Cost of modifications required by law: $0 Line 3 20 percent of authorized cost: $30,000 .20 x (table G-3, columns (f) + (g) Line 4 Maximum cost limited by Section 902: $239,316 Line 1e + line 2 + line 3 Notes: The cost"
d2d37497602cc4b0295f71660e14be24,EIS,"Cushman Hydroelectric Project Mason County, Washington","[""Department of Energy""]","[""Washington""]",Clean,6601,18.1,long,TRUE,early LLM-picked initiation (verify),1992-11-02,day,api_adjudication,2010-11-29,day,metadata,"Accordingly, the Director issued a notice on November 2, 1992, indicating the Commission staff's intent to prepare a DEIS that would evaluate the probable impacts of Tacoma's Proposal for the Cushman Project and alternative courses of action.","DOE NEPA Register decision date (rod, DOE/EIS-0456): 2010-11-29"
353df409fcdef8cd1ce536d6bdd33966,EIS,"Upper Ohio Navigation Study, Pennsylvania","[""Corps of Engineers--Civil Works""]","[""Pennsylvania""]",Other,5783,15.8,long,TRUE,initiation pre-1985 (likely historical citation),1983-12-15,month,document_text,1999-10-15,month,api_adjudication,Construction began in May 1962 and was completed in December 1983.,Systems Investment Plan– ENGINEERING APPENDIX 7-12 Meldahl Auxiliary Lock Extension Base Plan Cost Estimate Applicable Changes from Greenup Locks Improvements Project Greenup Lock Extension Project Meldahl Lock Extension Major Feature Authorized Feature Cost Updated Feature Cost Change Reason for Ch
20e49224adf0bcbb8462114835480340,EIS,Proposed Resource Management Plan for the Fort Greely Maneuver Area and Fort Greely Air Drop Zone,"[""Bureau of Land Management""]","[""Alaska""]",Fossil,5551,15.2,long,TRUE,early LLM-picked initiation (verify),1987-07-15,day,api_adjudication,2002-09-25,day,api_adjudication,"The team mailed 194 brochures describing the planning process and purpose and outlining preliminary issues and criteria to a wide variety of agencies, organizations, interest groups, and individuals on July 15, 1987.","J Date signed September 25, 2002 Date ~!eld Manager Northern Field Office Si gn at ure Susan Will, Acting"
1677957b1168c706ec806eb3dcc40879,EIS,"Morganza to the Gulf of Mexico, Louisiana","[""Corps of Engineers--Civil Works""]","[""Louisiana""]",Other,5329,14.6,long,TRUE,early LLM-picked initiation (verify),1993-04-07,day,api_adjudication,2007-11-09,day,api_adjudication,"A Notice of Intent to prepare a Draft EIS was published in the Federal Register on April 7, 1993, and invited public comment.","110-114, Section 1001(24)) on November 9, 2007."
5fc80f5a-ac5a-6e2c-6cdc-389f57290dfc,CE,Midstate Electric Cooperative Right-of-Way Renewal,"[""Bureau of Land Management""]","[""Oregon""]",Clean,11693,32,long,FALSE,plausibly real long process,1988-03-29,day,document_text,2020-04-03,day,api_adjudication,"2. Description of Proposed Action: By renewal application received August 16, 2019, Midstate Electric Cooperative (Applicant) is requesting renewal of existing 7.0 miles by 50 feet wide and 44.0 miles by 20 feet wide, ROW across BLM-administered land in Lake County, Oregon (see Exhibit B Maps). The ","DOI-BLM-ORWA-L050-2020-0012-CX Midstate Electric Cooperative OROR-043668 04/03/2020 Page 1 of 15 If approved this ROW would be authorized under Title V of the Federal Land Policy and Management Act of 1976 (FLPMA) of October 21, 1976 and 43 CFR § 2800."
1496d425-901a-c789-fbc4-e6978c376e15,CE,Unisource Dutch Flat 20.8kV Distribution Line – Right-of-Way,"[""Bureau of Land Management""]","[""Arizona""]",Fossil,10016,27.4,long,FALSE,plausibly real long process,1994-09-01,day,ground_truth_verified,2022-02-02,day,ground_truth_verified,"Description of Proposed Action: On November 8, 2021, UNS Electric, Inc.(UNSE) submitted an application to renew BLM right-of-way AZA 028323. The right-of-way was originally authorized on September 1, 1994 and will expire on August 31, 2024. The powerline provides electrical service to rural residenc",Preparers and Reviewers Name: | Resource Program: | Signature/Date: ---|---|--- Maria Nicoletti | Lead Realty Specialist | Maria Nicoletti Digitally signed by Maria Nicoletti Date: 2022.02.02 09:49:19-07'00' Joelle Acton | Wildlife Biologist | JOELLE ACTON Digitally signed by JOELLE ACTON Date: 2022
e2734936-9b8a-97ef-4213-661c5824ea83,CE,"Water Pipeline Assignment from Smith to Montgomery, FLPMA ROW MTM-84523","[""Bureau of Land Management""]","[""Montana""]",Fossil,9367,25.6,long,FALSE,plausibly real long process,1995-09-22,day,api_adjudication,2021-05-15,month,api_adjudication,"Description of the Proposed Action: BLM Office | BLM Miles City Field Office NEPA PROJECT NUMBER | DOI-BLM-MT-C020-2021-0120-CX PROPOSED ACTION TITLE | Water Pipeline Assignment from Smith to Montgomery, | FLPMA ROW MTM-84523 LOCATION/LEGAL | Principal Meridian, Montana, Carter County DESCRIPTION | ","Department of the Interior Bureau of Land Management Categorical Exclusion ASSIGNMENT OF WATER PIPELINE FLPMA ROW MTM-84523 DOI-BLM-MT-C020-2021-0120-CX MAY 2021 Miles City Field Office 111 Garryowen Road Miles City, Montana 59301 Description of the Proposed Action BLM Office | BLM Miles City Field "
8a335e1f-53d5-643c-ec86-9a025780d078,CE,Buried Fiber Optic Telecommunication Line Right-of-Way Renewal,"[""Bureau of Land Management""]","[""Arizona""]",Other,9150,25.1,long,FALSE,plausibly real long process,1997-03-20,day,api_adjudication,2022-04-08,day,api_adjudication,"Right-of-Way (ROW) AZA 30099 was granted on March 20, 1997 for AT&T's buried fiber optic cable known as the El Paso-Tucson route.","Gackle Date: 4/8/2022 Title: Contact Person For additional information concerning this CX review, contact: Clara Gauna Land Law Examiner Safford Field Office 711 S."
48e38f6e-4168-de4b-0f1a-b26b7a5b7686,CE,Joint Fuel Cycle Studies (JFCS) Program Revision 4,"[""Department of Energy""]","[""Idaho""]",Other,9053,24.8,long,FALSE,plausibly real long process,1995-04-15,month,document_text,2020-01-27,day,metadata,"In April 1995, DOE completed the Programmatic Spent Nuclear Fuel Management and Idaho National Engi...",DOE CX Register determination date (cx-21321.0): 2020-01-27
c214d80b-adc0-eb18-b35f-f581a42c2573,CE,Electrochemical Manipulation and Radiolytic Evaluation of Organic Phase Neptunium,"[""Department of Energy""]","[""Idaho""]",Other,9034,24.7,long,FALSE,plausibly real long process,1997-05-15,month,document_text,2022-02-07,day,document_text,"Not included in this category are demonstration actions, meaning actions that are undertaken at a scale to show whether a technology would be viable on a larger scale and suitable for commercial deployment."" NEPA coverage for the transportation and disposal of waste to WIPP are found in the Final Wa","Anderson, DOE-ID NEPA Compliance Officer on: 2/07/2022"
b01953b9-4825-74c9-6d3b-a26d3c95a68c,CE,Advanced Handling and Safety Enhancement Studies,"[""Department of Energy""]","[""Idaho""]",Other,8980,24.6,long,FALSE,plausibly real long process,1997-05-15,month,document_text,2021-12-15,day,document_text,"The Department has analyzed TRU waste management activities in the Final Waste Management Programmatic Environmental Impact Statement (WM PEIS) (DOE /EIS-200-F, May 1997).","Anderson, DOE-ID NEPA Compliance Officer on: 12/15/2021"
71edfd1e-f3d1-2235-bbb1-881c3c30d252,CE,(Seaborg) Thermophysical Properties Measurements for Seaborg Technologies,"[""Department of Energy""]","[""Idaho""]",Other,8960,24.5,long,FALSE,plausibly real long process,1997-09-15,month,document_text,2022-03-28,day,document_text,"References: 10 CFR 1021, Appendix B to subpart D, items B3.6, ""Small-scale research and development, laboratory operations, and pilot projects."" Final Waste Management Programmatic Environmental Impact Statement [WM PEIS] (DOE/EIS-0200-F, May 1997) and Waste Isolation Plant Disposal Phase Supplement","Anderson, DOE-ID NEPA Compliance Officer on: 03/28/2022"
7033441d-a5d8-b9f6-2c2e-b4b3f6a4091a,CE,El Paso Electric Right-of-Way Renewal,"[""Bureau of Land Management""]","[""Arizona""]",Clean,8940,24.5,long,FALSE,plausibly real long process,1995-09-13,day,document_text,2020-03-05,day,document_text,"Proposed Action: El Paso Electric Company submitted an application on March 31, 2015 for the renewal of the following right-of-way granted September 13, 1995 for several access roads to service and maintain right-of-way AZA 9003 for a 345 kV transmission line located on federal, state and private la","E.Bue 3/5/2020 [x] [ ] Emily Burke §46.215(1) Contribute to the introduction, continued existence, or spread of noxious weeds or non-native invasive species known to occur in the area or actions that may promote the introduction, growth, or expansion of the range of such species (Federal Noxious Wee"
19a61cdd-22f0-d0fb-1ca2-132fcf266c64,CE,High Assay Low Enriched Uranium (HALEU) Fuel Fab,"[""Department of Energy""]","[""Idaho""]",Clean,8807,24.1,long,FALSE,plausibly real long process,1997-09-15,month,document_text,2021-10-26,day,metadata,"Final Waste Management Programmatic Environmental Impact Statement [WM PEIS] (DOE/EIS-0200-F, May 1997) and Waste Isolation Plant Disposal Phase Supplemental EIS (SEIS-II) (DOE/EIS-0026-S-2, September 1997).",DOE CX Register determination date (cx-25062.0): 2021-10-26
13e7d1aa-7299-aa25-8d0b-135cdeee701d,CE,THOR-M Phase I Experiment at TREAT,"[""Department of Energy""]","[""Idaho""]",Other,8771,24,long,FALSE,plausibly real long process,1997-05-15,month,document_text,2021-05-20,day,metadata,"National Environmental Policy Act (NEPA) coverage for the transportation and disposal of waste to WIPP are found in Final Waste Management Programmatic Environmental Impact Statement [WM PEIS] (DOE/EIS-0200-F, May 1997) and Waste Isolation Plant Disposal Phase Supplemental EIS (SEIS-II) (DOE/EIS-002",DOE CX Register determination date (cx-23863.0): 2021-05-20
e9c62601-ef06-0eea-821a-3470371f5d2e,CE,Joint Fuel Cycle Studies (JFCS) Program Revision 3,"[""Department of Energy""]","[""Idaho""]",Other,8734,23.9,long,FALSE,plausibly real long process,1995-04-15,month,document_text,2019-03-14,day,metadata,"In April 1995, DOE completed the Programmatic Spent Nuclear Fuel Management and Idaho National Engineering Laboratory Environmental Restoration and Waste Management Programs Final Environmental Impact Statement (DOE/EIS-0203) (hereafter, 1995 EIS) (DOE 1995a).",DOE CX Register determination date (cx-19685.0): 2019-03-14
4736a227-3e10-22d1-270a-41aec27d4376,CE,Natrium Demonstration Reactor Support,"[""Department of Energy""]","[""Idaho""]",Clean,8707,23.8,long,FALSE,plausibly real long process,1997-05-15,month,document_text,2021-03-17,day,metadata,"National Environmental Policy Act (NEPA) coverage for the transportation and disposal of waste to WIPP are found in Final Waste Management Programmatic Environmental Impact Statement [WM PEIS] (DOE/EIS-0200-F, May 1997) and Waste Isolation Plant Disposal Phase Supplemental EIS (SEIS-II) (DOE/EIS-002",DOE CX Register determination date (cx-23612.0): 2021-03-17
d5bf3479-ea2c-80f4-57bc-84267e5c0d40,CE,"Silver Mountain - Gondola, Water & Sewer Lines & Access Road ROW","[""Bureau of Land Management""]","[""Idaho""]",Other,8664,23.7,long,FALSE,plausibly real long process,1990-06-15,month,document_text,2014-03-05,day,document_text,"1. Description of the Proposed Action: Silver Mountain Corporation has submitted an application to renew the existing right-of-way (ROW) for a gondola, water/sewer line and access road across Public Land. This ROW was originally granted to the City of Kellogg in June 1990 and assigned to Silver Moun","/s/ Kurt Pavlat Field Manager 3/5/2014 Date 2 Silver Mountain - Gondola, Water & Sewer Lines & Access Road ROW IDI-27505 D 08 09 16 17 18 19 Legend Gondola_Water_Sewer_Access_ROW BLM PRIVATE STATE U.S DEPARTMENT OF THE INTERIOR BUREAU OF LAND MANAGEMENT The surface management status (""land ownership"
0aef9e01-c651-e3a6-f71d-445eaf6f703a,CE,U.S. High Performance Research Reactor (HPPR) Low Enriched Uranium (LEU) Fuel Development,"[""Department of Energy""]","[""Idaho""]",Other,8621,23.6,long,FALSE,plausibly real long process,1997-05-15,month,document_text,2020-12-21,day,metadata,"National Environmental Policy Act (NEPA) coverage for the transportation and disposal of waste to WIPP are found in Final Waste Management Programmatic Environmental Impact Statement [WM PEIS] (DOE/EIS-0200-F, May 1997) and Waste Isolation Plant Disposal Phase Supplemental EIS (SEIS-II) (DOE/EIS-002",DOE CX Register determination date (cx-23152.0): 2020-12-21
d3bc9337-1b36-9109-b07d-25aa09bf7bbb,CE,Joint Fuel Cycle Studies (JFCS) Program Revision 2,"[""Department of Energy""]","[""Idaho""]",Other,8594,23.5,long,FALSE,plausibly real long process,1995-04-15,month,document_text,2018-10-25,day,metadata,"In April 1995, DOE completed the Programmatic Spent Nuclear Fuel Management and Idaho National Engineering Laboratory Environmental Restoration and Waste Management Programs Final Environmental Impact Statement (DOE/EIS-0203) (hereafter, 1995 EIS) (DOE 1995a).",DOE CX Register determination date (cx-19122.0): 2018-10-25
958337c9-4a64-6cbf-09ac-9dc54111d9f3,CE,Nuclear Materials Discovery and Qualification Initiative Testing and Characterization,"[""Department of Energy""]","[""Idaho""]",Other,8502,23.3,long,FALSE,plausibly real long process,1997-05-15,month,document_text,2020-08-24,day,metadata,"The Department has analyzed TRU waste management activities in the Final Waste Management Programmatic Environmental Impact Statement (WM PEIS) (DOE /EIS-200-F, May 1997).",DOE CX Register determination date (cx-22257.0): 2020-08-24
54c72471-c5fa-a698-b5d2-b330a5af39b7,CE,MFC-775 Zero Power Physics Reactor Vault (ZPPR) Fuel Storage Bin Removal,"[""Department of Energy""]","[""Idaho""]",Other,8446,23.1,long,FALSE,plausibly real long process,1997-05-15,month,document_text,2020-06-29,day,metadata,"References: 10 CFR 1021, Appendix B to Subpart D, B1.24 ""Property transfers"" Final Waste Management Programmatic Environmental Impact Statement [WM PEIS] (DOE/EIS-0200-F, May 1997 Final Environmental Impact Statement for the Nevada Test Site and Off-Site Locations in the State of Nevada (DOE/EIS-024",DOE CX Register determination date (cx-22033.0): 2020-06-29
fab99c2c-e149-b0e8-5597-1df01a53a8a8,CE,"Water Line/120 kV Powerline, Pump House & Storage Tank","[""Bureau of Land Management""]","[""Idaho""]",Clean,8412,23,long,FALSE,plausibly real long process,1991-02-15,month,document_text,2014-02-26,day,document_text,1. Description of the Proposed Action: has submitted an application to renew an existing spring development and water pipeline for domestic water use to private property for a term of 20 years. The ROW was originally granted to Robert Hafterson in February 1991 and assigned to in March 1991. The sit,"/s/ Kurt Pavlat Field Manager 2/26/14 Date 2 **Page 3:** Water Facility ROW IDI-28158 R1E T 57 N 08 Legend Water Facility ROW BLM R1E U.S DEPARTMENT OF THE INTERIOR BUREAU OF LAND MANAGEMENT The surface management status (""land ownership"") should be used as a general guide only."
45f5956b-a99b-f860-4599-87c5cfe34dff,CE,NRIC Irradiated Fuel Salt Characterization Modular Hot Cell,"[""Department of Energy""]","[""Idaho""]",Other,8390,23,long,FALSE,plausibly real long process,1997-05-15,month,document_text,2020-05-04,day,metadata,"National Environmental Policy Act (NEPA) coverage for the transportation and disposal of waste to WIPP are found in the Final Waste Management Programmatic Environmental Impact Statement [WM PEIS] (DOE/EIS-0200-F, May 1997) and Waste Isolation Plant Disposal Phase Supplemental EIS (SEIS-II) (DOE/EIS",DOE CX Register determination date (cx-21775.0): 2020-05-04
64cc6494-e94c-6080-392e-8e30dc8d3679,CE,HFDA Head Plate for the Dross Chlorination Experiment,"[""Department of Energy""]","[""Idaho""]",Other,8379,22.9,long,FALSE,plausibly real long process,1997-09-15,month,document_text,2020-08-24,day,metadata,"References: 10 CFR 1021, Appendix B to subpart D, items B3.6, ""Small-scale research and development, laboratory operations, and pilot projects"" Final Environmental Impact Statement for the Waste Isolation Pilot Plant (DOE/EIS-0026, October 1980) and Final Supplement Environmental Impact Statement fo",DOE CX Register determination date (cx-22355.0): 2020-08-24
f611b887-2140-4d1c-88a8-06fef3f48b53,CE,Access Road,"[""Bureau of Land Management""]","[""Idaho""]",Other,8368,22.9,long,FALSE,plausibly real long process,1991-02-15,month,document_text,2014-01-13,day,document_text,1. Description of the Proposed Action: has submitted an application to renew his existing road right-of-way (ROW) across public land. This ROW is used to access his private residence. The ROW was originally granted to Robert Hafterson in February 1991 and assigned to in March 1991. The ROW is approx,"/s/ Kurt Pavlat Field Manager 1/13/14 Date 2 Road ROW IDI-28157 R1E T 57 N T 57 N Legend Road ROW BLM R1E U.S DEPARTMENT OF THE INTERIOR BUREAU OF LAND MANAGEMENT The surface management status (""land ownership"") should be used as a general guide only."
13508898-0c34-5253-1463-519ca49a4fbb,CE,Kephart / Goodson Access Road ROW Assignment – MTM 96440,"[""Bureau of Land Management""]","[""Montana""]",Other,8364,22.9,long,FALSE,plausibly real long process,1985-08-15,month,document_text,2008-07-09,day,document_text,Sparks Field Manager 2 Enclosures 1-Right-of-Way Grant MTM-96440 2-Form 1842-1 FORM 2800-14 (August 1985) UNITED STATES DEPARTMENT OF THE INTERIOR BUREAU OF LAND MANAGEMENT RIGHT-OF-WAY GRANT MTM-96440 Q MT-010 Billings Field Office 1.,"Li Der July 9, 2008 Holder, Signature Authorized Authorized Officer 7/14/08 Effective Date of Grant Bureau of Land Management Montana State Office, Billings MT I hereby certify that this reproduction is a copy of the record on file in this office."
ead2ba1b-6a70-9313-85cb-0b9720578264,CE,"Pakoon, Mt Trumbull Administrative Sites Radio Tower Upgrade","[""Bureau of Land Management""]","[""Arizona"", ""Nebraska""]",Clean,8360,22.9,long,FALSE,plausibly real long process,1992-04-15,month,document_text,2015-03-06,day,document_text,The ROW is for an 84.7acre area and was issued to the BLM Arizona Strip District in April 1992.,"APPROVING OFFICIAL: Mark Wimmer, Monument Manager (Acting) TITLE: Monument Manager, Grand Canyon-Parashant National Monument DATE: March 6, 2015 Note: The signed conclusion on this compliance record is part of an interim step in the BLM's internal decision process and does not constitute an appealab"
1d502d8d-22e7-9da5-dbea-0221c32a5344,CE,U.S. High Performance Research Reactor (HPPR) Low Enriched Uranium (LEU) Fuel Development,"[""Department of Energy""]","[""Idaho""]",Other,8357,22.9,long,FALSE,plausibly real long process,1997-05-15,month,document_text,2020-04-01,day,metadata,"National Environmental Policy Act (NEPA) coverage for the transportation and disposal of waste to WIPP are found in Final Waste Management Programmatic Environmental Impact Statement [WM PEIS] (DOE/EIS-0200-F, May 1997) and Waste Isolation Plant Disposal Phase Supplemental EIS (SEIS-II) (DOE/EIS-002",DOE CX Register determination date (cx-21556.0): 2020-04-01
214e1176-266e-d5cc-c1e3-0f6ff2bcb3d2,CE,FCF Fuel Cycle Glovebox Actinide Sensor Development System,"[""Department of Energy""]","[""Idaho""]",Other,8339,22.8,long,FALSE,plausibly real long process,1997-05-15,month,document_text,2020-03-14,day,metadata,"References: 10 CFR 1021, Appendix B to Subpart D item B3.6 ""Small-scale research and development, laboratory operations, and pilot projects"" Final Environmental Impact Statement for the Waste Isolation Pilot Plant (Department of Energy/Environmental Impact Statement [DOE/EIS]-0026, October 1980) and",DOE CX Register determination date (cx-21558.0): 2020-03-14
